Headline,Body ID,Stance,prob_0,prob_1,prob_2,prob_3
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2124,unrelated,2.2471209e-08,1.1804782e-08,3.5901135e-07,0.99999964
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,1940,unrelated,8.885807e-08,1.7192114e-08,2.6968294e-07,0.99999964
Christian Bale in Talks to Play Steve Jobs (Exclusive),945,discuss,0.001112826,0.0018179696,0.9970668,2.3715666e-06
Apple Watch reportedly has low-energy 'power reserve' mode,719,unrelated,9.465843e-08,1.3546883e-08,7.630016e-06,0.99999225
"Islamic State training pilots to fly MiG fighter planes, says monitoring group",295,unrelated,1.8960972e-07,5.4774527e-09,5.2202256e-07,0.9999993
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,1681,discuss,1.0788662e-05,3.588993e-06,0.99998546,1.3396546e-07
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,419,discuss,0.0004963349,3.1535126e-06,0.9994723,2.8255252e-05
ISLAMIC STATE ‘FED MURDERED MAN TO HIS OWN MOTHER’,2349,unrelated,3.8067592e-05,4.509417e-07,2.4183391e-05,0.9999373
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",1569,unrelated,7.901629e-08,7.2411948e-09,7.693656e-07,0.99999917
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2495,discuss,0.000550426,7.35049e-06,0.99943644,5.7300836e-06
ISIS Militants Allegedly Contracted Ebola,1175,discuss,0.0005182703,3.1564425e-05,0.99943155,1.8599105e-05
ISIS Appears To Behead American Photojournalist In YouTube Video,1040,unrelated,8.310235e-09,2.633668e-08,2.4959943e-05,0.99997497
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1478,unrelated,5.209468e-08,9.4383426e-09,2.5723168e-07,0.99999964
ISIS Kobani Update: Possible ISIS Chemical Attack On Kurdish Civilians In Kobani,2453,unrelated,5.380661e-08,5.9081366e-08,1.661269e-07,0.99999976
US Intel: Taliban Man Released From Gitmo in Bergdahl Deal is Back to Militant Activity,1299,unrelated,5.273753e-08,4.1629e-08,2.9785426e-08,0.9999999
Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,687,unrelated,2.4168736e-07,1.2077582e-08,4.7209987e-08,0.99999964
High school student scores $72M playing the stock market,2235,unrelated,2.799514e-07,3.37687e-06,1.7709182e-07,0.9999962
#Hairgate: iPhone 6 users say device pulls out hair,1738,discuss,0.0005879871,1.00237585e-05,0.9994012,7.1687583e-07
ISIS Getting Ebola,1004,unrelated,1.8718036e-06,6.049844e-06,0.0012272786,0.9987649
"Boko Haram agrees to ceasefire, release of school girls",1027,disagree,0.274228,0.580403,0.14461885,0.00075017766
CBS News Names Canadian Parliament Shooting Suspect,2246,discuss,0.008286709,6.082254e-05,0.99097145,0.0006810025
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),2377,unrelated,4.032568e-08,6.079637e-08,1.3051873e-05,0.9999869
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1438,unrelated,4.4909957e-08,1.4313158e-08,4.542303e-07,0.9999995
Government fires employee who skipped work for 24 years,800,unrelated,1.2008495e-07,3.9558423e-09,2.061581e-06,0.99999785
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,2153,discuss,0.0011269765,2.667885e-05,0.9988398,6.586962e-06
"Don't forget to tip...especially if you spend $300,000",830,unrelated,6.4692193e-07,1.2402364e-09,5.21767e-08,0.9999993
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',651,unrelated,3.745816e-08,6.877358e-09,7.0077334e-07,0.9999993
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,26,unrelated,1.381493e-07,6.4719025e-08,2.9966543e-06,0.9999968
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1502,unrelated,6.9283997e-06,4.386105e-07,1.6510837e-07,0.9999925
"Obama, Outraged Over Beheading, Vows to Stay on Course",1574,unrelated,3.3964532e-06,7.3434188e-09,5.3463324e-08,0.99999654
