Headline,Body ID,Stance,prob_0,prob_1,prob_2,prob_3
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,2037,discuss,0.0027217332,0.0024421925,0.99133366,0.0035024334
"No, a bird didn't poop on Vladimir Putin",2367,unrelated,0.0012037604,0.00075349223,0.00570099,0.99234176
"No, that broken pencil illustration isn't by Banksy",1747,unrelated,0.00548355,0.0009595163,0.003712968,0.98984396
Video Purports To Show Beheading Of U.S. Journalist By Militants,2115,unrelated,0.0038258887,0.0007866356,0.001313434,0.99407405
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1106,discuss,0.065284714,0.0106209675,0.8487801,0.07531426
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,521,unrelated,0.0026143843,0.0007125988,0.009147276,0.9875258
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,1408,unrelated,0.0014113754,0.0004948882,0.00069459167,0.9973992
Fence-jumper made it farther in White House than Secret Service let on,1580,unrelated,0.0111131165,0.0066463477,0.032615818,0.9496247
ISIL militant 'Jihadi John' named by media,2202,discuss,0.010508533,0.008860911,0.95366997,0.026960608
Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,226,unrelated,0.02112546,0.006129125,0.0770857,0.8956597
Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,347,unrelated,0.002664433,0.0017891399,0.003827019,0.99171937
An Indian Civil Servant Just Got Sacked After Not Turning Up For Work For 25 Years,1646,unrelated,0.0038042953,0.008727137,0.0018502158,0.9856184
VIDEO: Son Stuns Parents By Paying Off Their Mortgage As Christmas Surprise,1933,unrelated,0.0010854889,0.00045089665,0.0008974611,0.9975662
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1120,discuss,0.008407266,0.004427663,0.9679233,0.019241758
Michael Phelps’ alleged girlfriend says she was born intersex,1524,unrelated,0.002156049,0.00095971633,0.022672972,0.9742113
State House time capsule from 1795 unearthed,690,unrelated,0.0012568901,0.013722169,0.0027757331,0.9822452
'Sex attacker' has penis cut off with a cleaver in India,1210,unrelated,0.0023794868,0.0007695591,0.0070465603,0.9898044
"No, a Planetary Alignment on Jan. 4, 2015, Won’t Decrease Gravity",1260,unrelated,0.00086244574,0.0006642642,0.0018369141,0.9966364
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,2413,unrelated,0.0371593,0.006712676,0.055573918,0.90055406
